pulse,interval_ms,interval_us
1,16.1040,16104
2,17.1019,17102
3,16.3311,16331
4,17.8664,17866
5,15.6081,15608
6,18.7719,18772
7,14.7516,14752
8,16.4532,16453
9,17.1171,17117
10,16.2291,16229
11,17.1172,17117
12,16.3933,16393
13,19.1634,19163
14,14.2312,14231
15,19.3046,19305
16,14.4231,14423
17,16.1801,16180
18,17.2665,17266
19,16.1451,16145
20,17.0326,17033
21,16.4824,16482
22,19.0133,19013
23,14.4134,14413
24,18.5404,18540
25,15.1531,15153
26,16.2149,16215
27,17.1870,17187
28,16.1633,16163
29,17.7568,17757
30,15.7676,15768
31,18.7319,18732
32,14.6870,14687
33,16.6212,16621
34,17.2397,17240
35,16.4689,16469
36,18.6355,18636
37,14.4675,14467
38,17.1909,17191
39,16.5070,16507
40,16.6765,16677
41,18.2431,18243
42,15.2004,15200
43,16.5842,16584
44,19.3556,19356
45,14.1095,14110
46,16.6454,16645
47,18.7410,18741
48,14.6702,14670
49,16.6121,16612
50,19.2992,19299
51,14.2733,14273
52,16.5212,16521
53,19.1346,19135
54,14.0058,14006
55,19.0881,19088
56,14.6383,14638
57,16.2004,16200
58,17.2423,17242
59,16.1160,16116
60,17.1329,17133
61,16.3912,16391
62,19.3224,19322
63,14.0822,14082
64,17.1916,17192
65,16.5270,16527
66,16.5983,16598
67,18.8179,18818
68,14.6622,14662
69,16.6307,16631
70,18.6937,18694
71,14.7562,14756
72,16.5855,16586
73,18.7335,18734
74,14.8161,14816
75,16.5578,16558
76,18.6489,18649
77,14.8124,14812
78,16.5806,16581
79,18.8689,18869
80,14.6642,14664
81,16.5802,16580
82,18.8310,18831
83,14.6440,14644
84,16.5585,16558
85,18.6390,18639
86,14.5003,14500
87,17.2328,17233
88,16.4820,16482
89,16.5938,16594
90,18.1478,18148
91,15.3330,15333
92,16.6004,16600
93,18.6501,18650
94,14.4904,14490
95,17.1188,17119
96,16.6386,16639
97,16.5780,16578
98,18.9702,18970
99,14.5367,14537
100,16.5448,16545
