sample,elapsed_ms,elapsed_us,temp_c,resistance_ohm,delta_from_baseline,pct_of_step
1,16.0648,16065,25.9374,110.0983,2.6122,5.36
2,33.2719,33272,25.9712,110.1114,2.6460,5.43
3,49.3691,49369,25.9374,110.0983,2.6122,5.36
4,66.4480,66448,25.9374,110.0983,2.6122,5.36
5,82.8434,82843,25.9712,110.1114,2.6460,5.43
6,103.4806,103481,26.0051,110.1245,2.6799,5.50
7,116.2534,116253,26.0051,110.1245,2.6799,5.50
8,133.0286,133029,26.0389,110.1376,2.7137,5.57
9,150.0367,150037,26.0051,110.1245,2.6799,5.50
10,166.1922,166192,26.0389,110.1376,2.7137,5.57
11,183.5294,183529,26.0389,110.1376,2.7137,5.57
12,199.5544,199554,26.0389,110.1376,2.7137,5.57
13,218.2222,218222,26.0728,110.1508,2.7476,5.64
14,233.0838,233084,26.1404,110.1770,2.8152,5.78
15,255.0741,255074,26.4450,110.2951,3.1198,6.40
16,266.8348,266835,26.9188,110.4788,3.5936,7.38
17,283.0518,283052,27.5281,110.7150,4.2029,8.63
18,300.3049,300305,28.1713,110.9644,4.8461,9.95
19,316.3923,316392,28.8147,111.2137,5.4895,11.27
20,333.6968,333697,29.4581,111.4630,6.1329,12.59
21,349.8417,349842,30.1018,111.7123,6.7766,13.91
22,368.8854,368885,30.7116,111.9485,7.3864,15.16
23,383.3319,383332,31.2538,112.1585,7.9286,16.27
24,404.8525,404852,31.7961,112.3685,8.4709,17.38
25,417.0679,417068,32.3045,112.5653,8.9793,18.43
26,433.3196,433320,32.7791,112.7490,9.4539,19.40
27,450.4710,450471,33.2538,112.9327,9.9286,20.38
28,466.6333,466633,33.7625,113.1296,10.4373,21.42
29,483.8097,483810,34.2713,113.3264,10.9461,22.46
30,500.1688,500169,34.7801,113.5233,11.4549,23.51
31,520.4942,520494,35.2551,113.7070,11.9299,24.48
32,533.5555,533556,35.7301,113.8907,12.4049,25.46
33,555.5515,555551,36.1713,114.0613,12.8461,26.36
34,567.4300,567430,36.5786,114.2188,13.2534,27.20
35,583.6420,583642,37.0199,114.3893,13.6947,28.11
36,601.8029,601803,37.3933,114.5337,14.0681,28.87
37,617.0023,617002,37.7668,114.6780,14.4416,29.64
38,638.8526,638853,38.1404,114.8224,14.8152,30.41
39,650.7180,650718,38.4800,114.9536,15.1548,31.10
40,666.9898,666990,38.8196,115.0848,15.4944,31.80
41,684.2604,684260,39.1253,115.2029,15.8001,32.43
42,700.3273,700327,39.3971,115.3079,16.0719,32.98
43,717.7245,717724,39.7028,115.4260,16.3776,33.61
44,733.8148,733815,39.9746,115.5310,16.6494,34.17
45,753.1908,753191,40.2805,115.6491,16.9553,34.80
46,767.2901,767290,40.5523,115.7541,17.2271,35.36
47,788.1506,788151,40.8582,115.8722,17.5330,35.98
48,801.0118,801012,41.1301,115.9772,17.8049,36.54
49,817.2060,817206,41.3680,116.0690,18.0428,37.03
50,834.4614,834461,41.6400,116.1740,18.3148,37.59
51,850.5722,850572,41.9119,116.2790,18.5867,38.15
52,867.7230,867723,42.1499,116.3708,18.8247,38.63
53,884.1173,884117,42.3879,116.4627,19.0627,39.12
54,904.2932,904293,42.6259,116.5546,19.3007,39.61
55,917.4731,917473,42.8640,116.6464,19.5388,40.10
56,936.8748,936875,43.1020,116.7383,19.7768,40.59
57,951.3283,951328,43.3061,116.8170,19.9809,41.01
58,967.4719,967472,43.5442,116.9089,20.2190,41.50
59,984.6952,984695,43.7483,116.9876,20.4231,41.91
60,1000.8643,1000864,43.9524,117.0663,20.6272,42.33
61,1018.5157,1018516,44.1565,117.1451,20.8313,42.75
62,1034.3575,1034357,44.3946,117.2369,21.0694,43.24
63,1055.5784,1055578,44.5648,117.3026,21.2396,43.59
64,1067.7644,1067764,44.7689,117.3813,21.4437,44.01
65,1084.4677,1084468,44.9390,117.4469,21.6138,44.36
66,1101.5813,1101581,45.1432,117.5256,21.8180,44.78
67,1117.6444,1117644,45.3134,117.5912,21.9882,45.13
68,1134.9593,1134959,45.5176,117.6700,22.1924,45.55
69,1151.0704,1151070,45.6877,117.7356,22.3625,45.90
